metric,mean,std,min,max
risk_delta,5.095238095238095,7.901605795637989,-14.0,30.0
long_cot_delta,0.19412698412698406,0.14959405891978717,-0.2433333333333334,0.53
off_topic_score_delta,0.046257601843939886,0.06917636841198736,-0.09121859073638916,0.2578597068786621
misalign_score_delta,-0.015024368074678239,0.23849505166464868,-0.5890558362007141,0.7883485034108162
zlib_entropy_risk_delta,0.17159970812103564,0.2558520051682595,-0.5163949539804242,0.8999999999999999
